ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_pub_m,dist_hosp_priv_m,pub_caminando_min,pub_auto_min,priv_caminando_min,hosp_mas_cercano,penaliza_publico_m
1369,6296,488487.5315901385,2139112.117849673,329.0,-99.1096107015961,19.345965320878623,1521.3572955478132,165.59529888292997,20.28476394063751,4.56407188664344,2.207937318439066,Privado,1355.7619966648833
1388,5484,489200.5220619188,2139070.063025619,290.0,-99.10282205933352,19.345589214611227,1655.9054480357954,763.7171939219846,22.078739307143938,4.967716344107386,10.182895918959796,Privado,892.1882541138108
141A,4046,492150.19736191566,2139309.088071344,251.0,-99.07473914256153,19.347763047639024,664.9259782843286,877.9895939664761,8.865679710457714,1.994777934852986,11.706527919553015,Publico,0.0
1424,2881,492546.2404526284,2139102.246754085,294.0,-99.07096755128715,19.34589526054703,1193.990529691087,302.62690898007475,15.919873729214492,3.581971589073261,4.0350254530676635,Privado,891.3636207110122
1439,2585,493030.8157517052,2139412.6297351,110.0,-99.06635502613568,19.34870203501514,1535.271418598073,723.860076056785,20.470285581307643,4.605814255794219,9.651467680757134,Privado,811.411342541288
1443,1973,493444.4859996379,2139582.876818862,70.0,-99.06241697411244,19.35024200713951,1582.633365927412,1249.292070537189,21.101778212365492,4.747900097782236,16.65722760716252,Privado,333.34129539022297
1458,1726,493424.5581520543,2139267.9437800646,114.0,-99.06260562736618,19.34739578590072,1519.0139771221227,1003.0140807883539,20.253519694961636,4.557041931366368,13.373521077178053,Privado,515.9998963337688
1462,2160,493808.88246132113,2139172.66672954,150.0,-99.05894611849942,19.34653595538545,1303.4747370811945,1353.0707236563917,17.379663161082593,3.9104242112435834,18.040942982085223,Publico,0.0
1477,2157,494089.7420846396,2139270.1672431454,38.0,-99.05627233489518,19.34741794616734,1470.988198855754,1725.9529559213381,19.613175984743386,4.412964596567262,23.012706078951176,Publico,0.0
1481,2435,494180.8791645277,2139062.569621465,10.0,-99.05540397402332,19.34554208161609,1249.1763858464312,1683.4474165607294,16.655685144619085,3.7475291575392937,22.445965554143058,Publico,0.0
1496,2524,495326.3038415037,2139175.114592059,195.0,-99.04449863959162,19.34656217864621,2046.8931707792867,2117.1330490195255,27.291908943723822,6.140679512337861,28.228440653593672,Publico,0.0
1509,4535,496019.0630888385,2139829.611007144,277.0,-99.03790418976568,19.35247857680489,1850.2590680293836,1310.356267884351,24.670120907058447,5.550777204088151,17.47141690512468,Privado,539.9028001450326
1513,5064,496623.4111599481,2139826.360722315,442.0,-99.032149930286,19.35245030933706,1335.830612963227,673.868849208375,17.811074839509693,4.007491838889681,8.984917989445,Privado,661.961763754852
1566,9689,488295.31522165134,2138414.308562028,408.0,-99.11143651928468,19.339657876866987,2461.4030562935386,1002.4078103204116,32.81870741724718,7.384209168880616,13.365437470938822,Privado,1458.995245973127
1585,0,492000.6720238897,2138770.699418748,13.0,-99.07616053753354,19.342896857717648,1286.9610290088538,965.8646140080343,17.15948038678472,3.8608830870265614,12.878194853440458,Privado,321.09641500081943
159A,6649,492207.5302960937,2138685.2106886827,272.0,-99.07419071960793,19.342125079304424,1447.5492218767567,751.650938914114,19.30065629169009,4.34264766563027,10.022012518854854,Privado,695.8982829626427
1621,4393,493504.5746140116,2138476.490242876,157.0,-99.06184108662242,19.34024340939649,576.0317864813754,700.6696396367821,7.680423819751672,1.7280953594441264,9.342261861823761,Publico,0.0
1636,2883,493799.65013863856,2138396.2384477886,174.0,-99.05903149741629,19.339519077647623,295.7530810965207,850.0425631150019,3.943374414620276,0.8872592432895622,11.333900841533358,Publico,0.0
1640,4166,494121.65762496047,2138536.919583246,165.0,-99.05596620414576,19.34079142903123,613.5278020568899,995.9505904548566,8.180370694091865,1.8405834061706696,13.279341206064755,Publico,0.0
1655,2448,494627.8382662821,2138435.54329845,217.0,-99.05114670302656,19.339876672455016,1099.629527111181,1169.139656130104,14.66172702814908,3.2988885813335433,15.588528748401385,Publico,0.0
166A,3498,495327.216170353,2138905.8670655694,196.0,-99.04448929384805,19.34412889837389,2174.89053190586,2194.775982080096,28.998540425411466,6.52467159571758,29.263679761067948,Publico,0.0
1674,3237,495747.080851345,2139197.021754621,174.0,-99.04049243722184,19.346761095533203,1817.643193132907,1572.7168078401126,24.235242575105428,5.452929579398721,20.96955743786817,Privado,244.92638529279452
1689,2788,496075.20797984005,2139086.3106287923,132.0,-99.03736808120318,19.34576122856503,1372.5224532405207,1198.8442458359805,18.300299376540277,4.117567359721562,15.98458994447974,Privado,173.67820740454022
1693,2012,496384.5750640676,2139059.362480137,133.0,-99.03442253579291,19.34551826910923,970.0467021285741,853.5808179582197,12.933956028380988,2.9101401063857226,11.381077572776261,Privado,116.46588417035446
1706,7319,496813.7818663602,2139278.192488044,544.0,-99.03033641483154,19.34749663728604,605.5809490671154,238.46250150499355,8.074412654228205,1.8167428472013463,3.179500020066581,Privado,367.11844756212184
1710,7600,497584.629674644,2139373.681692676,449.0,-99.02299718974714,19.348360680151654,839.8633483966271,556.4540930101621,11.198177978621695,2.5195900451898816,7.419387906802161,Privado,283.409255386465
1759,3567,495604.533862172,2138493.939008393,260.0,-99.04184802055777,19.34040678710277,2047.0932492076395,2105.19643016042,27.29457665610186,6.141279747622919,28.069285735472263,Publico,0.0
1763,6474,496037.0551056402,2138514.9233979345,410.0,-99.03773014938572,19.340597329344277,1504.3781047622606,1653.8257805833566,20.058374730163475,4.513134314286782,22.051010407778087,Publico,0.0
1778,6931,488724.139985968,2138157.5359672066,356.0,-99.10735230598564,19.33733978680739,2727.8537631177505,1254.164267992118,36.371383508236676,8.183561289353252,16.722190239894907,Privado,1473.6894951256324
1814,3694,493644.5727374391,2138074.161143508,209.0,-99.06050686556893,19.33660786866466,265.31081917017474,615.0030762397271,3.5374775889356633,0.7959324575105242,8.200041016529694,Publico,0.0
1833,3848,488910.400628265,2137696.0957183903,132.0,-99.10557632561598,19.33317062972915,3335.460299507905,1885.524020967548,44.47280399343873,10.006380898523716,25.14032027956731,Privado,1449.9362785403569
1848,3531,488699.9837329036,2137469.4795430363,106.0,-99.107578214226,19.331121450500177,3622.579843018298,2143.4233866059076,48.30106457357731,10.867739529054894,28.578978488078768,Privado,1479.1564564123905
